profile_id,archetype,is_fraud,fraud_severity,case_type,niche,follower_count,following_count,posts_count,account_age_months,avg_likes,avg_comments,avg_views,engagement_rate,like_comment_ratio,follower_following_ratio,view_follower_ratio,growth_spike_score,audience_geo_mismatch,audience_real_ratio,comment_authenticity,profile_pic_flag,bio,sample_comments,post_caption,audience_note
BON-00001,lightly_boosted,0,32.9,normal,beauty,102332,1890,1297,85,2394,38,83629,2.38,62.5,54.1,0.82,0.436,0.158,0.638,0.519,0,Beauty lover sharing tips - Follow for makeup & skincare advice.,"Great tips as always! || Love your skin! #beauty || Always learning something new. || So inspiring, thanks for sharing!",Spring Skin Refresh - How to Achieve Radiant Glow!,My audience loves natural beauty and simple skincare routines.
BON-00002,click_farm_audience,1,77.6,normal,wellness,908685,13906,48,31,53881,1424,1650704,6.09,37.8,65.3,1.82,0.654,0.702,0.494,0.577,0,Always sharing wellness tips in English & Spanish - join me!,Great tips! #healthandfitness 💪🏼 || Love your advice! #wellness 🌿 || Inspiring words! #motivation ☀️ || Such helpful info! 🎉,Starting my week right with a healthy smoothie! 🥗🌈 #healthylife #smoothies,My audience loves diverse wellness advice - both English and Spanish speakers.
BON-00003,micro_real,0,11.5,trap_clean,tech,1982,49,73,90,157,4,3166,8.15,38.6,40.4,1.6,0.26,0.272,0.835,0.73,0,Tech enthusiast sharing daily tech tips & reviews. Join us!,"Love your tech insights! 👍 || Great tips, always learning! || Just wanted to say thanks! 🙏 || Your channel rocks - keep it up! 💪",Check out our latest project - #AI advancements in technology! 🤖✨,"Small, engaged community passionate about tech innovation."
BON-00004,bought_followers,1,69.0,normal,food,281069,1896,2339,83,9069,115,254075,3.27,78.7,148.2,0.9,0.707,0.497,0.4,0.567,0,I share yummy recipes & cooking tips.,"Yum! Love your recipes! || Great pic, always hungry! || Tasty food shots, inspiring! || Keep it up, tasty!",Fresh out of the oven - this cookie is a hit!,My audience loves quick & easy recipes.
BON-00005,click_farm_audience,1,75.2,normal,photography,251847,6401,2146,110,13600,184,190635,5.47,73.8,39.3,0.76,0.421,0.814,0.48,0.433,0,I love shooting nature pics - beauty in every shoot!,"Oh so pretty! 🌿- || Love your style. || Amazing shots, always fresh! || Nature lover here too!",Just shot this morning's sunrise. Can't wait to see you all wake up with me. ☀️🌅,My followers are passionate about travel and wildlife.
BON-00006,engagement_pod,1,71.9,normal,travel,125193,6143,548,115,6903,77,82922,5.58,88.6,20.4,0.66,0.289,0.245,0.931,0.503,0,"Nomad Neil - Discover the world, live the adventure! 🌍✈️","Love this, check out my page! || Support back - Italy next! || Gorgeous shots, great travel tips! || Travel buddy - let's explore together!",Wandering through Bali's rice fields - the most serene place I've ever seen. #ExploreBali #TravelPhotos,Audience loves spontaneous trips and unique travel experiences
BON-00007,bought_engagement,1,52.5,normal,wellness,24173,574,133,61,3746,21,9396,15.59,172.6,42.1,0.39,0.529,0.145,0.616,0.296,0,Healthy living starts here! 🌿💪 #WellnessJourney,Glad you're sharing healthy tips! || Love seeing you in nature! ☀️🌱 || Fit life tip! - stretch regularly. || Good vibes only here - stay positive!,New workout playlist - let's get fit! 💪🎶,My audience loves outdoor activities and motivational messages.
BON-00008,ai_persona,1,78.6,masked_fraud,music,106853,3799,1035,32,8755,183,25785,8.37,47.7,28.1,0.24,0.295,0.213,0.804,0.708,1,Sharing the latest in indie tunes - tune in!,"Love your music vibe! || Great playlist, keep it up! || Your songs make me feel so good! 😊 || Nice one - awesome tunes!",Here's a new playlist to vibe with - spread the love 🎵💕,Mainly young music lovers seeking inspiration and relaxation tracks.
BON-00009,micro_real,0,13.9,trap_clean,tech,2132,56,580,53,161,2,1142,7.69,75.2,38.1,0.54,0.548,0.484,0.524,0.657,0,Tech guru sharing the latest trends - join the conversation!,Great insights as always! 👏 || Love your creativity - keep it up! || Can't agree more - tech really is fascinating! || Inspiring stuff - I'm all ears!,New project update - here's how we make it happen!,Small community of tech enthusiasts eager to learn and engage
BON-00010,ai_persona,1,100.0,masked_fraud,home decor,37131,989,71,19,1998,20,76396,5.44,99.4,37.5,2.06,0.395,0.321,0.732,0.792,1,Love vintage finds & DIY projects - sharing simple ideas for your home.,Aww so lovely! - Mary || Great DIY - pinned it! - Bob,Crafting a cozy corner in my living room - using old jars as vases. 🌻 #DIY #Decor,My audience loves unique home decor tips and DIY projects.
BON-00011,authentic_organic,0,5.9,normal,parenting,180126,4083,41,14,8243,90,168143,4.63,91.2,44.1,0.93,0.219,0.326,0.796,0.666,0,"I love connecting with parents - sharing tips, stories, & laughs.",Great advice! I've saved so many ideas! || So happy to see so much positivity! || Love your posts - they always make me smile! || Thanks for always keeping it light!,Here's our new collection for baby #lovebabyclothes,My audience is moms and dads who care about their kids.
BON-00012,ai_persona,1,83.5,normal,music,481490,34779,77,112,34154,342,644164,7.16,99.8,13.8,1.34,0.576,0.596,0.641,0.333,1,Dive into the rhythm with me. Music lover & creator.,Love the beat! 🎶 || Your tunes are awesome! 🎵👏 || Nice mixtape. 🍻🎶 || Gotta love your playlists! 👍,New mixtape ready for you ears - enjoy the vibes!,Audience loves indie pop and enjoys live performances.
BON-00013,authentic_organic,0,4.9,normal,beauty,56092,1551,106,8,4954,98,139469,9.01,50.0,36.2,2.49,0.397,0.313,0.893,0.867,0,Beauty guru sharing everyday tips - Join me in my journey to radiant skin!,Love your skin as you do yours! 🌸✨ || You make beauty so accessible! ❤️ || Your tips always brighten my day! 🌈% || Inspiring and motivating! 💥,Discover the secret to glowing skin in just 7 days - #beautyjourney #skincare,My audience loves natural beauty and skincare advice.
BON-00014,bought_engagement,1,67.2,masked_fraud,parenting,173192,4535,703,43,15561,127,211263,9.06,122.1,38.2,1.22,0.349,0.172,0.816,0.715,0,A warm and loving voice in parenting - helping families thrive.,Great tips! ❤️💪 || Inspiring journey - Thanks for sharing! || Love your posts. || Totally relate - thanks for being so honest! 😊,5 Simple Steps to Boost Your Child's Self-Esteem Today!,Mainly new parents looking for simple tips to support their children's growth.
BON-00015,engagement_pod,1,48.9,normal,gaming,5006,181,297,56,521,13,5022,10.7,38.6,27.7,1.0,0.181,0.348,0.894,0.564,0,Gaming lover - share your tips & games with me!,Love your latest game review! Check out my picks! || Awesome tips on PC builds - love it! || Your stream is always so chill - I wish I could join! || Great game recommendations - keep em coming!,Here's this week's top picks - what's your favorite genre? #gamercommunity #videogames,My audience loves sharing gaming insights and playing together.
BON-00016,bought_followers,1,79.5,masked_fraud,comedy,239927,6339,374,11,16660,270,166145,7.06,61.7,37.8,0.69,0.422,0.387,0.688,0.594,0,Making you laugh every day! 🎉 #ComedyGalore,"LOL so much drama! 🤣 || Haha I love your jokes! 😄 || Nice one, always cracking me up! 💪 || Your humor is contagious! 🎉",Just shared a joke with @joejones - What's the secret to never getting old? Stay young! 🙃,"My audience loves fresh, quick wit and relatable comedy."
BON-00017,lightly_boosted,0,19.8,normal,fitness,82907,1559,379,77,4363,35,76750,5.31,123.9,53.2,0.93,0.665,0.373,0.765,0.784,0,Fit and healthy living - everyday tips to get you started!,Good morning! || Great workout idea! || Love your progress! || Yummy food pics!,New recipe to try - it's easy and delicious!,My audience loves healthy recipes and fitness routines.
BON-00018,authentic_organic,0,3.6,normal,photography,382557,18330,1616,93,12664,243,702153,3.37,52.1,20.9,1.84,0.27,0.101,0.844,0.729,0,Gorgeous landscapes - capturing nature's beauty!,Love your work! So serene. || Every photo is a masterpiece! || Your color grading is amazing! || Absolutely stunning photos!,A beautiful sunrise over the valley - it's the magic hour!,My audience loves outdoor scenes and travel photography
BON-00019,ai_persona,1,87.5,normal,wellness,58809,1128,44,50,1673,14,38938,2.87,115.4,52.1,0.66,0.634,0.373,0.505,0.345,1,Nourishing body & mind - daily wellness tips. #wellnessjourney,Glad I found you! || Love your positivity! || Just what I needed today. || Such inspiring content!,5 Easy Habits for a Happier Life! 🌈 #wellness #motivation,Mainly women interested in self-improvement and mental health
BON-00020,micro_real,0,13.4,trap_clean,sports,4467,163,547,115,316,7,4098,7.26,39.8,27.4,0.92,0.252,0.403,0.684,0.582,0,Excited about every game! 🏟️ #AthleteLife,Love the energy! 👍 || Always rooting for you! || Great motivation to get fit! || Your passion inspires me!,Just watched #NBA Finals - it was insane! What did you think? 😍🏀 #SportsFan,A loyal group of die-hard sports fans who share their love for the game.
BON-00021,ai_persona,1,77.1,masked_fraud,home decor,497447,10975,663,76,32818,403,739838,6.68,81.4,45.3,1.49,0.354,0.234,0.781,0.654,1,Curating cozy corners - sharing simple DIYs & decor tips.,Love your work! 😊 || Inspiring - thanks! || Nice DIY - it's so practical. || So pretty! You're amazing!,Creating a warm retreat in our living room - easy peasy!,My audience loves cozy home decor and DIY projects.
BON-00022,viral_legit,0,22.7,normal,parenting,215420,8174,133,73,17438,172,257105,8.17,101.3,26.4,1.19,0.739,0.286,0.838,0.74,0,"Parenting pro sharing real life tips, laughs & tears.",OMG!!! So relatable - thanks for the honesty! 🌟❤️️ || Perfect timing! Just needed to hear this today. 👏👏 || True story - I can relate so much! 🎉 || Great post - I'm feeling it! 📣💕,Navigating parenthood - some lessons I've learned...,"My audience are new parents craving advice, support & laughter."
